target_abuse_score,target_confidence,target_auto_blocked,total_reports,vt_detections,abuse_score,confidence,threatfox_iocs,mitre_confidence,asshole_score,classification_confidence,usage_type,country_code,threat_category,infrastructure_type,suspicious_isp,young_domain,residential_proxy,verified_identity,published_ip_ranges,signal_abuse_reports,signal_vt_detections,signal_threatfox,signal_suspicious_infra,signal_behavioral,reports_to_vt_ratio,has_ssl_data,ssl_port_open,id
37,37,1,63,0,37,37,0,65,55.061799739838875,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,63,1,0,"indicator--8ff63b42-768b-496e-9bbc-e1dcb01d81af"
100,100,1,1197,0,100,100,0,90,130.78456818053291,70,"Commercial","US","UNKNOWN_THREAT","UNKNOWN",0,0,0,0,0,1,0,0,0,1,1197,1,0,"indicator--0085589b-51ab-41e7-939e-1af0b685e2a8"
44,44,1,32,0,44,44,0,65,59.18513939877887,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,32,1,0,"indicator--f04031e8-7f9b-499e-be26-d0662677983c"
58,58,1,34,0,58,58,0,0,73.44068044350276,50,"Fixed Line ISP","NG","UNKNOWN_THREAT","RESIDENTIAL",0,0,1,0,0,1,0,0,0,1,34,1,0,"indicator--43dd8dda-d48f-4d20-bfdd-780914a62e49"
100,100,1,1110,0,100,100,0,90,130.45714058940868,70,"Commercial","US","UNKNOWN_THREAT","UNKNOWN",0,0,0,0,0,1,0,0,0,1,1110,1,0,"indicator--d6eb4edf-2676-472f-9dc5-7bed0da5274c"
100,100,1,953,9,100,100,0,95,138.79548374704095,85,"Data Center/Web Hosting/Transit","DE","MALICIOUS_BOT","CLOUD",0,0,0,0,0,1,1,0,0,1,95.3,1,0,"indicator--8f5f5521-fabe-48b7-a9be-a7db19e85486"
41,41,1,67,0,41,41,0,65,59.32508912706236,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,67,1,0,"indicator--f8a5e284-84cd-41e9-a661-a87de99b22f2"
45,45,1,33,0,45,45,0,65,60.31478917042255,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,33,1,0,"indicator--8c10cfd2-b575-46e5-8a0d-74d0c592a790"
47,47,1,62,0,47,47,0,65,64.99340549453582,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,62,1,0,"indicator--0f6beedb-7156-49a9-9f76-0996ee8f438d"
41,51,1,18,2,41,51,0,0,55.78753600952829,65,"Data Center/Web Hosting/Transit","GB","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,1,0,0,1,6,1,0,"indicator--0c621286-0c75-4c5e-8310-3b2a23c77160"
100,100,1,98,4,100,100,0,80,123.9563519459755,85,"Data Center/Web Hosting/Transit","NL","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,1,0,0,1,19.6,1,0,"indicator--3c8228e8-160f-4570-8152-4afebd802cbb"
38,38,1,59,0,38,38,0,65,55.78151250383644,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,59,1,0,"indicator--9dcfcbec-4a41-47c3-bf54-ef6820304db3"
41,46,1,16,0,41,46,0,65,78.30448921378274,55,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,0,0,1,1,16,1,0,"indicator--34bbe6c2-fe1f-4a1c-836b-5e0bbf7d52d1"
56,56,1,24,0,56,56,0,65,69.97940008672037,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,24,1,0,"indicator--8729a5a7-1654-42ff-a34e-cca34a46679e"
55,55,1,10,0,55,55,0,0,65.41392685158225,50,"Data Center/Web Hosting/Transit","GB","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,10,1,1,"indicator--b78af44b-1790-4502-a8a8-60217aee73fa"
100,100,1,434,9,100,100,0,95,135.38489256954637,85,"Data Center/Web Hosting/Transit","CA","MALICIOUS_BOT","CLOUD",0,0,0,0,0,1,1,0,0,1,43.4,1,0,"indicator--c16f4f3c-e5e3-42c7-a541-81738f7dc51e"
37,37,1,35,0,37,37,0,65,52.56302500767288,50,"Data Center/Web Hosting/Transit","IT","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,35,1,0,"indicator--7f4e1528-025f-4f06-9d17-2f244612ad97"
87,87,1,23,0,87,87,0,0,100.80211241711606,60,"Data Center/Web Hosting/Transit","NL","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,0,0,0,1,23,1,0,"indicator--64efa162-b136-4485-af90-518d35abeadf"
44,54,1,17,1,44,54,0,65,57.552725051033065,65,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,1,0,0,1,8.5,1,0,"indicator--0866f2a3-66ce-49ad-b8fd-347012a5704e"
53,53,1,48,0,53,53,0,0,69.90196080028514,50,"Mobile ISP","CN","UNKNOWN_THREAT","RESIDENTIAL",0,0,1,0,0,1,0,0,0,1,48,1,0,"indicator--3be131c3-75b0-42b1-8c40-d9577a8fddcc"
100,100,1,35,4,100,100,0,85,144.56302500767288,80,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,1,0,1,1,7,1,0,"indicator--0c686ed2-9cf3-4aad-b067-3234eeee7a8d"
45,50,1,12,0,45,50,0,65,81.13943352306836,55,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,0,0,1,1,12,1,0,"indicator--ee2cdb7c-be82-4202-b465-de3d9ba322fc"
31,31,1,67,0,31,31,0,65,49.32508912706236,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,67,1,0,"indicator--97146aa1-a718-4f5b-8eec-e87ceff64330"
31,31,1,17,0,31,31,0,0,43.552725051033065,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,0,0,0,1,17,1,0,"indicator--b207a5cb-cdc0-491f-bdfe-128dfc2cde28"
100,100,1,1251,0,100,100,0,90,130.9760432887441,70,"Commercial","US","UNKNOWN_THREAT","UNKNOWN",0,0,0,0,0,1,0,0,0,1,1251,1,0,"indicator--4162486d-b717-4bbf-a023-e28cf55fc72c"
57,57,1,75,0,57,57,0,65,75.8081359228079,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,75,1,0,"indicator--334ff518-7ac3-43ca-85f0-4d648ad1e67a"
43,43,1,60,0,43,43,0,65,60.85329835010767,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,60,1,0,"indicator--b637f746-1f0d-4f7d-bb62-2e66f6fa0077"
84,94,1,32,3,84,94,0,80,102.18513939877887,75,"Data Center/Web Hosting/Transit","DE","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,1,0,0,1,8,1,0,"indicator--1146b17f-b8c7-463c-bf34-cf01ecad38d9"
37,37,1,68,0,37,37,0,65,55.38849090737256,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,68,1,0,"indicator--dcc7cd88-806f-4dc4-9334-72625dbd643c"
100,100,1,3620,0,100,100,0,90,135.5882852481701,70,"Data Center/Web Hosting/Transit","NL","SCANNER","DATACENTER",0,0,0,0,0,1,0,0,0,1,3620,1,0,"indicator--0277fb3a-8cd9-440f-9879-7a459d1acaa8"
52,52,1,30,0,52,52,0,0,66.91361693834273,50,"Mobile ISP","CN","UNKNOWN_THREAT","RESIDENTIAL",0,0,1,0,0,1,0,0,0,1,30,1,0,"indicator--63ae912a-1fdb-4871-84d6-1787e7298c9e"
100,100,1,1059,9,100,100,0,95,139.2530586526477,85,"Data Center/Web Hosting/Transit","DE","MALICIOUS_BOT","CLOUD",0,0,0,0,0,1,1,0,0,1,105.9,1,0,"indicator--17409e19-8557-4baf-af65-f60d85b3f9ac"
100,100,1,620,0,100,100,0,90,127.93091600176581,70,"Data Center/Web Hosting/Transit","US","SCANNER","CLOUD",0,0,0,0,0,1,0,0,0,1,620,1,0,"indicator--13f6f20e-96a2-404f-a957-e722c50d74e4"
55,55,1,36,0,55,55,0,65,70.68201724066995,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,36,1,0,"indicator--ee1dc507-076f-43b0-a57a-83678979da07"
40,40,1,18,0,40,40,0,0,52.78753600952829,50,"Mobile ISP","CN","UNKNOWN_THREAT","RESIDENTIAL",0,0,1,0,0,1,0,0,0,1,18,1,0,"indicator--117994cf-01e3-4906-959a-31e776de1aa6"
100,100,1,178,0,100,100,0,80,122.52853030979892,70,"Fixed Line ISP","CN","UNKNOWN_THREAT","RESIDENTIAL",0,0,1,0,0,1,0,0,0,1,178,1,0,"indicator--b1554b8d-91d2-4894-858a-3156340d8fe2"
100,100,1,777,14,100,100,0,95,142.9097959698969,85,"Data Center/Web Hosting/Transit","NL","MALICIOUS_BOT","DATACENTER",0,0,0,0,0,1,1,0,0,1,51.8,1,0,"indicator--d38dc55a-bbd4-43eb-a34c-9033b97f1bb4"
100,100,1,88,1,100,100,0,80,120.49390006644913,85,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,1,0,0,1,44,1,0,"indicator--803cd037-e7f7-4a7b-a5ee-ac418f8f2818"
